제목,가수,가사
Ride On (Feat. Blew.D),JSN .Paak,"uh ride on yeah 
쌓인 일들은 미뤄 yeah
uh ride on yeah 
지친 몸을 이끌고 yeah
uh ride on yeah 
브레이크 밟고 일단 시동부터
걸어버리고 편히 기댈 곳으로 
핸들을 꺾어 yeah
ride on ride on 
할일은 많어 많아도
일단 놔둬 놔둬 
내일로 미뤄 내 problem
우선은 ride on ride on 
할일은 많어 많아도
일단 놔둬 놔둬 
내 시간 잡어 잡아야지
uh time goes fast 
억지로 맞추느라 지친 내
몸을 기댈 곳으로 가야지 
오늘 하루도 time up man
uh time goes fast 
내 시간 마저 지나치기 전에
일거리들은 트렁크에 쑤셔넣고 
서둘러서 밟자고 액셀
매일 쫓기듯이 살아가다보니 
생각보다 빨리 지치곤 해 yeah
damm 머리 속은 다음날 일거리 
같은걸로 채워지기도 해 yeah
내일 걱정들을 땡겨서 하고 있지 
균형은 깨져서 기운 위치
다시 맞춰 가려 하면 지금 내게 
필요한 것 같다고 잠깐의 break ay
굳이 커다란 걸 바라지도 않아 
편히 몸을 기댈 곳 하나
느리더라도 뭐 상관 없잖아 
그저 내 시간들을 꽉 붙잡아
가고 싶은거라고 찌뿌둥한 
몸은 점점 지쳐가네
더 늦기전에 나를 채울 곳으로 
몸을 던져놔 yeah ay
uh ride on yeah 
쌓인 일들은 미뤄 yeah
uh ride on yeah 
지친 몸을 이끌고 yeah
uh ride on yeah 
브레이크 밟고 일단 시동부터
걸어버리고 편히 기댈 곳으로 
핸들을 꺾어 yeah
ride on ride on 
할일은 많어 많아도
일단 놔둬 놔둬 
내일로 미뤄 내 problem
우선은 ride on ride on 
할일은 많어 많아도
일단 놔둬 놔둬 
내 시간 잡어 잡아야지
ye time goes slow
느꼈던 게 잠시 뒤로
길거리도 온통 비어
있는 듯 하게 feel uh
우린 또 항해를 했지
다른 환경에도 착륙을 할지
머릿 속은 복잡해 가지 지금
필요한 건 chill beat
gimme that loop!
우리에겐 party 매일
해도 전혀 안 기뻐 할일이 내
어깨위로 쌓여가
don't lose don't kill my vibe
서성이다가
망설이다가
결국 출발을 해 지금
다시 repeat just go
uh ride on yeah 
쌓인 일들은 미뤄 yeah
uh ride on yeah 
지친 몸을 이끌고 yeah
uh ride on yeah 
브레이크 밟고 일단 시동부터
걸어버리고 편히 기댈 곳으로 
핸들을 꺾어 yeah
ride on ride on 
할일은 많어 많아도
일단 놔둬 놔둬 
내일로 미뤄내 problem
우선은 ride on ride on 
할일은 많어 많아도
일단 놔둬 놔둬 
내 시간 잡어 잡아야지"
At My Worst,Toru,"Girl can you be on my side
even when I'm At My Worst?
꽤나 가끔 위험한 삶
이긴 해도 난 괜찮어
비싼 걸 걸치고 더 활짝 웃는 내가 보이잖아
보고 싶어도 좀만 참자 우리 며칠째 못 봐도
난 그 새끼들이 싫어
죽여달라고 빌어
마이크 앞에서 기도하다가
가끔은 길을 잃어
Girl can you be on my side
even when I'm At My Worst?
꽤나 가끔 위험한 삶
이긴 해도 난 괜찮어
많은 곳을 돌아봤지만 나
아무것도 성에 차지 않아
받았지 전보다 많은 사랑
다 갚아야 하는데 난 발음 하나
제대로 못하고 있는 나를 혼내기 바뻐
마이크를 잡고 한 줄을 반복
이러다가 또 하루를 날리는 바보 새끼
씬이 어떻다 앞으로 어쩔까
머리 굴리지 난 비보이
시니어가 된 우리 아빠
따로 살려고 알아보는 시골
난 이상한 부담을 가져
댓글은 내 노력이 부질없다고 
이찬혁 맨스티어에 1승 추가를
중학생의 댓글 난 화를 못 참어
But I'll be back 내가 다시 괜찮아질 땐
내가 향수를 뿌리자 했을 때처럼 다시 등장을 알릴게
이건 내 24 26
내년엔 널 데리고 대힙페
메인 공연을 한 뒤에
비싼 이베리코 집에
Girl can you be on my side
even when I'm At My Worst?
꽤나 가끔 위험한 삶
이긴 해도 난 괜찮어
비싼 걸 걸치고 더 활짝 웃는 내가 보이잖아
보고 싶어도 좀만 참자 우리 며칠째 못 봐도
난 그 새끼들이 싫어
죽여달라고 빌어
마이크 앞에서 기도하다가
가끔은 길을 잃어
Girl can you be on my side
even when I'm At My Worst?
꽤나 가끔 위험한 삶
이긴 해도 난 괜찮어"
Monday To Sunday !!!,Artyoncanvas (아티온캔버스),"Girl , how what’s your day ?
네가 다른 누구보다도 궁금해
뭘 더 원하니?
세상 모든 것 하나 널 못 담는데
네 생각에 매일 매일 잠도 못자지
mayday , 응답해줄래
왜 이래 정말 하나도 맘대로 안돼
내 말은 아니 , 그게 아냐
뻔한 story 절대 아니잖아
그놈의 Birkin bag , 또 GUCCI belt
보여줄 필요없네 다 무의미해
다른 여자들은 pass , 뻔하지 , 됐어
앞에서 기다릴게 , wait
네 말투 like u u umm
진짜 cute
안 반하면 말이 안되는 네 눈
다 줄 수 있는 stupid ooh
다 물어봐 답할게 true
이 말이 뭐라고 안 나와 밖에
기다리기 힘들잖아 다음은 뭔데
월 화 수 목 지나 어느덧 Sunday
perfect한 날씨 아님 “어때?”란 말 한마디
Don’t late ! Monday 아침 오기까지
건네 ! 절대 ! 실수하지 말기
Don’t late ! Monday ! 아침 오기까지
Don’t late ! Monday ! 절대 떨지 않기
10cm는 아니지만 난 스토커 같아
네 주위를 돌아다녀 만들어서 lie
기대치에 못 미친다면 좀 미안해
네가 자꾸만 듣는 노래들을 따라가
like 빠빠빠빠빠 Big Naughty 아님
잠깐이면 되니까 네 Leellamarz
첼로보단 힙합이 취향이야 나도 똑같아
표절이라하지마 네 취향 오마주한거뿐야
Monday to Sunday
One week and Two week ….
Monday to Sunday
좀 길어졌는데 더 길어지면
Like u u umm …
진짜로 u u umm …….
난 멍청해 영어로는 stupid ooh
다 물어봐 답할게 true
이 말이 뭐라고 안 나와 밖에
기다리기 힘들잖아 다음은 뭔데
월 화 수 목 지나 어느덧 Sunday
perfect한 날씨 아님 “어때?”란 말 한마디
Don’t late ! Monday 아침 오기까지
건네 ! 절대 ! 실수하지 말기
Don’t late ! Monday ! 아침 오기까지
Don’t late ! Monday ! 절대 떨지 않기
떨지 않기 !!!"
알 (from Zero) (feat. NO.I),아웃사이더,"We’re breaking all the walls yeah
갇혀있던 날 깨워 uh
Sing it lalalalala
Sing it lalalalala
알에서 부화를 마치고
며칠을 밤낮으로 땅을 파고 발버둥 치다가 
작은 구멍을 뚫고 나와서
처음 빛을 마주한 순간
들려오는 파도, 뜨겁게 내리쬐는 태양
불빛, 불어오는 바닷바람. 
시원함을 잠시 뒤로 하고
또 한 번 쉴 틈 없이 바로 시작되는 여정
저 먼 바다를 향해 온 힘을 다해
아무리 턱 끝까지 숨이 차도 
숨이 끊어지기 전까진
끝나지 않고 계속되는 레이스
모래 가루가 묻은 등 껍질은
마치 심장의 모양과 닮은꼴
해변을 가로질러 바다로 향하는 새끼
거북이들의 경이로운 행군
악어와 새들의 공격
천적들을 피해 10분의 1의 확률로
살아남아 바다를 만나
하지만 여기서 끝나지 않고
계속되는 멀고 험난한 외로운 여정
우린 언젠가 다시 돌아올 순 있을까
내가 태어난 이곳 made in 해안
변화무쌍한 대양, 예측 불가능한 세상
뛰기 시작했지, 앞엔 거센 파도가
들이닥치는 바다를 향해서
떨리는 숨을 움켜쥐고
파도 속으로 몸을 던져 세상을 향해서
갇혀있던 알에서 날 깨워
We’re breaking all the walls yeah
갇혀있던 날 깨워
Sing it lalalalala
Sing it lalalalala
We’re breaking all the walls
Cuz we are are. We are
from zero from zero
알에서 깬 우리는 모두 불안정한 감정의
불안과 불만을 피해서 떠도는 도망자
완전한 자유란 없어.
독립을 해도 어미의 주변을
떠나지 못하고 떠도는 망자
크고 작은 실수와 잘못,
그로 인한 문제들에 직면했을 때 
환경을 탓하거나 지푸라기도 잡는 맘으로
타인에게 뻔뻔하게 도움만 구걸하는 부랑자
애초부터 혼자서는 아무것도 할 수 없지
이제 막 태어났는데 덩치만 산만한 우량아 
모든 행동의 모든 결과를 모두가 미리 알고서
뭐든지 대비할 수 있으면 좋으련만
대한해협을 횡단한 조오련마냥
끝없이 헤엄칠 수 있기를
바라지만 현실은 다르지
어떻게든 매번 눈앞의 상황에 대한 졸업만
대체 왜일까 최악을 맞닥뜨리고 나서야
깨닫게 되는 나의 부족함
I need to wake up
무지와 서툰 관계로 인한
이 많은 문제들에게 필요한 건
지혜의 불을 지필 땔감
마흔이 넘은 나도 사실은
아직 아빠의 조언이 필요해
아니라면 그건 아집
원하는 것을 누리고자 할수록
늘어가는 책임감
아이를 낳고 아이를 키우고
아이의 말과 행동 하나하나에
느끼는 보람과 부족함이 
어른이라는 나의 존재감을 확인하는
거짓말 탐지기 마냥 매일 흔들리지
truth or not truth
빠르게 오르락 내리락 감정의 굴곡을 그리며
오늘도 파르르 떠는 내 삶의 피뢰침
이 질문에 숨겨진 진실은
누구도 아니고 스스로가 알지
대답은 언제나 내가 해 내가 내 의뢰인
그리고 그 누구도 아닌
내가 나를 지켜 어른이란 그런 것
겁많은 나이의 아이를 다그치기 보다는
아이의 나이에 걸맞는 시야를
수많은 가지의 가지를 치고
그 가지의 사이에 겉치레가 아닌
가치란 열매를 맺는 것
피부를 뒤덮은 타투는 사투의 발자취
내 뼈와 살과 피
We’re breaking all the walls yeah
갇혀있던 날 깨워
Sing it lalalalala
Sing it lalalalala
We’re breaking all the walls
Cuz we are are. We are
from zero from zero"
"욕심 (Feat. Chan (찬), Hash Swan)",Way Ched (웨이체드),"It's such a beautiful day, I got you
나 혼자 즐기긴 싫어 나와
어제가 오늘 같아
오늘은 어제 같지
양치는 했나
금방 한 것마저도 자꾸 까먹지
Hard for me
아들 노래 카페에서 나와 “이거 들리니?”
무심하듯 반응해
누군 이런 나마저 되고플 텐데
Why 꼴에 생겼던 책임감
욕심이 만든 죄일까
아, 오늘 일하지 말까?
어차피 돌아가긴 글렀어 이제는
It's such a beautiful day, I got you
나 혼자 즐기긴 싫어 나와
빨리 갈게 밥도 내가 살 테니까
우리 꼴을 좀 봐봐
이거 진짜 진짜
지나칠 수 없는 걸
몇 바퀴 돌다 보면
하루가 더 괜찮을 거야
마치 마비가 된 것 같아
구르고 싶어 하는 세모 같아
날씨가 좋은 게 뭐랄까
그럼에도 세상은 매너가 꽝
그때 그 짜릿함도 예전 같지 않지 wait
편안했던 만큼 안일했지
이런 생각마저도 사치겠지
""오늘까지만""에 또 갇히네
오지랖 넓고 욕심만 많지
혐오하던 이 도시와 같이
나도 똑같애 그저
이상하게 자꾸 붕 떠
내일이 되면 오늘의 나는 죽어
나는 분명 나는 분명
나는 불명 다른 운명
아무도 못 다룰 불꽃
또 까는 소리만 해
타는 수명 앞에 우리 모두 알지 말을 줄여
나는 여전히 가뭄 이대로라면
명분이 다 사라져 찔러 넣은 바늘
다행이지 만족을 못 하는 나를
만들어 낸 세상에 무한한 감사를
It's such a beautiful day, I got you
나 혼자 즐기긴 싫어 나와
빨리 갈게 밥도 내가 살 테니까
우리 꼴을 좀 봐봐
이거 진짜 진짜
지나칠 수 없는 걸
몇 바퀴 돌다 보면
하루가 더 괜찮을 거야"
"나만큼만 (Feat. Gist, 저스디스 (JUSTHIS))",Way Ched (웨이체드),"이쯤이면 잊을 만한데도
왜 궁금해 밤만 되면 뭐하고 사는지
그 사람이랑 잘 지내는 듯한
피드 속 웃는 너가 미워
꼴도 보기 싫어
너도 힘들었으면 해
나만큼만
꼴도 보기 싫어
너도 힘들었으면 해
나만큼만
차단 버튼 누르려다 말았어
속 좁아 보이긴 싫어 이제 와서
잘 먹고 잘 사는데 나도
새로운 여자도 있는데
왜 자꾸 내 인생을 방해해
집중이 안 돼 다른 생각해
억지로 돌려 봐도
너 만한 여자는 없다고
후회하고 싶지는 않았는데
사람 마음이 마음처럼
쉽지가 않네
이쯤이면 잊을 만한데도
왜 궁금해 밤만 되면 뭐하고 사는지
그 사람이랑 잘 지내는 듯한
피드 속 웃는 너가 미워
꼴도 보기 싫어
너도 힘들었으면 해
나만큼만
꼴도 보기 싫어
너도 힘들었으면 해
나만큼만
Hol’ up uh
닭인지 달걀인지 헷갈리지
우리 사이, 근데 어쩌냐 넌 계륵이지 Uh
분명 처음엔 Feel like destiny
근데 남는 건 나와 네 A** and ti**ies 케미지 Uh
진짜 재밌으면 스토리도 안 올리니
난 니꺼에 답장 쓱 찔러놓지, 쓰레기니
넌 네 앞에 걔를 던질까 말까 하다가 입질
넘어오지 2~3시 쯤 넌 Fox련이니
볼 장 다 본 엉덩이는 귀가 조치해줘
어딜 눌러앉아 아침도 내오겠어
어차피 밤이 다시 올 때면 넌 올리고
난 누를 테니 네 스토리를 감싼 녹색 원
이쯤이면 잊을 만한데도
왜 궁금해 밤만 되면 뭐하고 사는지
그 사람이랑 잘 지내는 듯한
피드 속 웃는 너가 미워
꼴도 보기 싫어
너도 힘들었으면 해
나만큼만
꼴도 보기 싫어
너도 힘들었으면 해
나만큼만"
umm umm,그린베이지 (greenbeige),"빨간 이층 버스 앉아 맨 앞자리
넌 모르니까 훨씬 더 많아지지 말이
닫아 서울의 소음을 umm umm
쌓여 성공의 코러스쯤은
let go 비워버린 머릿속
이 cake 초도 불어버리긴 일러
날아 정신 못 차리는 애들 사이
닿아 finna go high right now
머리 아픈 일이 또 시간을 잡네
안 움직이지 넌 니 망상 앞서가는데
모르는 번호의 알림이 자극일 때
준비를 마친 그링베 여길 뜰 생각해
비행기 안 햇빛 눈 밑까지 닿게
Tell me how? 너 눈엔 어디까지 갔니
붕 떠 취해 사라져 니 시야에서
moscato fly 아님 sip a 0 somethin'
이 정도는 우습게
니 폰 속에 있는 창틀의 날개
뻔해도 이뻐 보이는 순간에 닿게
하늘이 깊어도 구름 위는 안단테보다
느리게 umm umm
도착해도 나는 umm umm
노이즈 캔슬 ear plug umm umm
Self airplane mode 코 막아 umm umm
빨간 이층 버스 앉아 맨 앞자리
넌 모르니까 훨씬 더 많아지지 말이
닫아 서울의 소음을 umm umm
쌓여 성공의 코러스쯤은
let go 비워버린 머릿속
이 cake 초도 불어버리긴 일러
날아 정신 못 차리는 애들 사이
닿아 finna go high right now
좋았던 이륙이 싫어질 만큼의 랜딩
하늘에서 보낸 시간 체감 never ending
바닥에서 기지 마 그냥 고개 들고 스탠딩
이유도 모르고 앞으로도 없어 plan b는
할 말을 다 못한 채 태워 보냈던 택시
기억은 선명해도 남은 종이엔 백지
몇 박이 흐를지 모르는 끝없는 체크인
mr. nameless 가끔은 현실이 더 nightmare
꿈에서 깬 듯 돌아와 ICN to SEOUL Stadium
한강 반대편으로 떠날 때의 들뜨는 기분
내려다보면 city view 대신 livin' life
가슴속에 low rider 서울은 도파민
거짓에 쌓여 지친 건 이미 리커버리
틱틱거리는 니 입은 나한테 타이머
어떻게 변했는지 적응 속 일을 벌이지
끝나버린 타임아웃 li light
빨간 이층 버스 앉아 맨 앞자리
넌 모르니까 훨씬 더 많아지지 말이
닫아 서울의 소음을 umm umm
성공의 코러스쯤은
let go 비워버린 머릿속
cake 초도 불어버리긴 일러
날아 정신 못 차리는 애들 사이
닿아 finna go high right now"
칼춤 (A Sword Dance),곡식,"손엔 검 대신 마이크 쥐어
걸어온 발자국 보폭을 좁혔다 넓혔다
멋대로 흔들어 때려 박고
하루에도 몇 번씩 베인 몸 튀기지 피
연습은 실전처럼 검무는
멋으로 추는 게 아냐
무아지경 지침 but 못 이기지 내 지침
너무도 빠른 템포에
일찍 지쳐버려 토해내 기침
난 사파로 진입 이미 빙신 취급
질리도록 먹어
인기 진실 x도 없어
진심을 담은 내 초식이 시집이야
야 진리 따윈 질리도록 익히 들었어
야 니 심리는 이미 의미 1도 일 없어
야 질질 흘리니 니 침이나 닦아
내 춤 안으로 다가오지 마
살짝 그이면 니 목 달아나니까
칼춤 능숙히 휘둘러질 때까지
작두 위를 타는 기분 걸음걸음이
사투 칵투
칼춤 능숙히 휘둘러질 때까지
작두 위를 타는 기분 걸음걸음이
사투 칵투
망나니라니 칼잡이 간지
다 닥치고 춤에서 눈 못 때니
대신에 벌린 입 흘리지 침
눈물이 흐르니 꿈꾸지
사실 살기 위해서라는 핑계 따위
댈 것 없이 사랑받았지
자지 않기 위해 마신 독주,
이겨내야 효과 받지
닭이 먼저일지 알이 먼저일지
삶이 먼저일지 잠이 먼저일지
감이 먼저일지 마음이 먼저일지
발이 먼저일지 팔이 먼저일지
그딴 거 몰라
그냥 하던 대로 하다 보니 칼이
팔일지 몰라
그냥 하던 대로 하다 보니 난
칼춤 능숙히 휘둘러질 때까지
작두 위를 타는 기분 걸음걸음이
사투 칵투
칼춤 능숙히 휘둘러질 때까지
작두 위를 타는 기분 걸음걸음이
사투 칵투
더 높은 경지를 원해 원해서 모은 심법에
주화입마에 빠질까 겁내는
겁쟁이는 될 생각 없기에
역혈, 흡성 뭐든 간에 마공 정공 관계없네
어차피 끝에 가면 모든 깨달음은
한 줄로 통하기에
어느새 쌓인 음원 어느새 쌓인 응원
어느새 쌓인 우정 허나 여전히 부정
어느새 털린 존심 어느새 털린 정신
어느새 털린 거짓 어느새 털린 삶"
Fallin' in Love (feat. ASH ISLAND),UNEDUCATED KID,"그동안 사랑이 뭔지 잊고 살았어
근데 널 처음 본 순간 난 깨달았어
니 모습이 떠나질 않아 머릿속
어색하지만, yeah, I think I'm fallin' in love
그동안 돈만 생각하며 살았어
근데 널 처음 본 순간 난 깨달았어
Baby, I can give you everything you want
어색하지만, yeah, I think I'm fallin' in love
네 말과 행동들로 내 기분이 바뀌어
이틀이 지났지만 why you don't answer
사랑이 뭔지 잘 모르겠지만 I love her
넌 가까운 것 같으면서도 멀어
I wanna know about you, 맘속 깊은 곳까지
I wanna know who are you, 자라 온 환경까지
Can lose everything for you, 내 돈과 인기까지
Can do anything for you, 심지어 범죄까지
너랑 즐기려는 게 아냐 just for one night
이제는 그만하고 싶어 가벼운 만남
널 쳐다보는 것만으로 난 받아 영감
하루 종일 멍때려, 홀린 것 같아 뭔가
그동안 사랑이 뭔지 잊고 살았어
근데 널 처음 본 순간 난 깨달았어
니 모습이 떠나질 않아 머릿속
어색하지만, yeah, I think I'm fallin' in love
그동안 돈만 생각하며 살았어
근데 널 처음 본 순간 난 깨달았어
Baby, I can give you everything you want
어색하지만, yeah, I think I'm fallin' in love
넌 모르겠지만 우린 꽤나 닮았어
널 보기 전까진 모든 게 귀찮았고
어딜 가도 외로움에 목말라 있었던
내 반을 줄 테니 넌 손을 잡아줘
Yeah, I fell in love, 너로 가득해 내 머릿속, woah
난 내 머리로 이해를 못 해 이 모든 걸, woah
전부 가져가 버려, tell me everything you want
Wherever you want, 따라갈게 그게 어디던지
어쩌라고, 어쩌라고, 니가 좋아하는 노래
틀고 날아 높게, I don't care, 절대 outta my head
말해줘, Hawaii, Dubai, Osaka, 부산
어딜 가던 니가 있다면 영화야, baby, just come to me
And show me your love to me, girl
그동안 사랑이 뭔지 잊고 살았어
근데 널 처음 본 순간 난 깨달았어
니 모습이 떠나질 않아 머릿속
어색하지만, yeah, I think I'm fallin' in love
그동안 돈만 생각하며 살았어
근데 널 처음 본 순간 난 깨달았어
Baby, I can give you everything you want
어색하지만, yeah, I think I'm fallin' in love"
사이비종교,UNEDUCATED KID,"누가 왼쪽으로 가면 난 오른쪽으로 가
십자가가 똑바로 서 있다면 뒤집어 놔
** 내가 공연하면 사람들 몇 실려가
말이 뭐 이렇게 많어 그냥 나를 따르라
사이비 종교, 사이비 종교
사이비 종교, 사이비 종교
사이비 종교, 사이비 종교
사이비 종교, 사이비 종교
피를 뒤집어쓰고 난 다시 태어나
가짜들은 결국 얼마 못 가서 다 들통나
내가 나타나니 사람들 비명을 질러 막
마치 신이 되어버린 기분, I can control your mind
B**ch s**king on my d**k when I'm recording
난 약에 중독됐어 이건 아냐 니코틴
I feeling like I'm Chief Keef 'cause I'm almighty
난 아픈 팬의 불치병을 치료해 줬지
*까 규칙, *까 법, 우린 최대한 반항해
Narcissism, anarchism, 이 세상 내 손 안에
날 믿으면 천국에 갈 수가 있어, 내가 장담해
날 등지면 지옥에 갈 수가 있어, 내가 장담해
누가 왼쪽으로 가면 난 오른쪽으로 가
십자가가 똑바로 서 있다면 뒤집어 놔
** 내가 공연하면 사람들 몇 실려가
말이 뭐 이렇게 많어 그냥 나를 따르라
사이비 종교, 사이비 종교
사이비 종교, 사이비 종교
사이비 종교, 사이비 종교
사이비 종교, 사이비 종교"
내가 평범해도 좋아했을까 넌..,타미즈 (Tamiz),"내가 평범해도 좋아했을까 넌
쿨 하지도 않아 떠나 버린 걸까
래퍼 라고 jolla 쿨 할까 싶어서
찔러본 것 같아 나는 마음이 뚫렸다고
그래 사랑해
너무 사랑해
이런 말 밖에
못하는 나니까
자신감도 하나 없는 래퍼
래퍼인 척 생색 하는 나란 인간 개뻥
쿨 하지도 않아
자꾸 포장 할게요
멋있는 척을 하지 또
사실은 찌질이지 난
그렇게 질질 짜면서
너에 대한 욕을 하고 또
그걸로 가사를 적어
그리고 공감을 얻어
그렇게 너를 욕하면서
나에게 쌓인 감정을 다 풀면 좋아
쿨 한 척 한 건 안 걸렸을까
그렇게 숨기다 한번에 폭발
넌 무서워해
다른 사람이 돼
나도 참 어렵네 
아직도 같아 어린애
걸릴 까봐 자꾸만 숨겨 더 날
그러니 날 떠나줘 
나는야 언제든 화산 폭발
할 수 있다 그 때면
나도 날 감당하지는 못할 테니까
그렇게 내가 떠날 테니까
근데 갈팡질팡 매일 밤
내가 평범해도 좋아했을까 넌
쿨 하지도 않아 떠나 버린 걸까
래퍼 라고 jolla 쿨 할까 싶어서
찔러본 것 같아 나는 마음이 뚫렸다고
내가 아니어도 넌
오히려 행복하게 맛난 거 먹고 다녀
우린 아니야
무린 하지 말자
나랑 못 먹던 거
걔가 다 사줄 거야
지금 보니
돈도 없고
뭐도 없고
멋도 없고
있어 보이는 건
오직 자신감 하나뿐인데
그거 마저 없음 어떡해
특이한 척 혼자 다른 척
홍대병 걸렸네
사실 불안장애 걸려서 벌벌 떠는 미친놈 이야 난
너를 품어줄 수 없어 1인분도 벅찬 걸
너는 절대 이런 내 마음을 모른단 말로
매도 했다가도 다시 미안했다가 하고..
그냥 계속 이렇게 반복 하는 건 좋지 않잖아
너한테도 그냥 정신 건강에 좋지 않잖아
나 혼자만 그냥 이렇게 병 들고 말면
되는 거잖아 그냥 이렇게 떠나줘
내가 평범해도 좋아했을까 넌
쿨 하지도 않아 떠나 버린 걸까
래퍼 라고 jolla 쿨 할까 싶어서
찔러본 것 같아 나는 마음이 뚫렸다고
내가 아니어도 넌
오히려 행복하게 맛난 거 먹고 다녀
우린 아니야
무린 하지 말자
나랑 못 먹던 거
걔가 다 사줄 거야
내가 평범해도 좋아했을까 넌
쿨 하지도 않아 떠나 버린 걸까
래퍼 라고 jolla 쿨 할까 싶어서
찔러본 것 같아 나는 마음이 뚫렸다고
내가 아니어도 넌
오히려 행복하게 맛난 거 먹고 다녀
우린 아니야
무린 하지 말자
나랑 못 먹던 거
걔가 다 사줄 거야"
"hur (feat. C JAMM, GIRIBOY)",기리보이,"I move 먼지 쌓인 Lamborgi
부릉 발소리
난 도로 위에 바보
먼저 양보했으니까
아가리 좀 다물지
한때는 이천에서 말 탔지
안장 위에 안착 치는 박차
그 view 너무 삭막해서 싫어
윗 공기는 달고 너무 매워 살사
여름철 벌레들 박멸해 F-Killa
끝내 고 새론 시즌
갈 놈은 가고 여기 누가 살아
남아 어떻게 그 돈을 뺏는지
그 돈은 굴러서 배로 뛰지
이 여인들은 계속 나를 괴롭히지
짜증 나 그녀의 배꼽티
난 그냥 혼자서 외롭지
시동 (슝)
끌어모아 이 부유
난 몰라 너는 누구
마음속엔 평화 다시 주유
Air bag 달린 제트기 
해로운 건 참는 게 더욱 더 해롭지
난 아저씨 됐으니 오늘만 살어
어떻게 그런 말을
They say
hur
she say
hur
When I’m amazing, 
you hur
crazy
When I’m amazing, 
you hur
crazy
난 몰라 bitches 쟨 어디 bitch
꺼져라 bitch 워
pussy놈 새끼 떠들어 shit
너 만들어 집에서
난 안 해 diss diss 넌 무너지지
그럼 별로 재미도 없어
날 화나게 했지 bitch 너 나가리
다 압수 다시 허접
여덟쯤에 중독됐네 박수
오토튠에 flex 오예 난 가수
내 CD 당근에서 삼 사십 
난 ㅈ같은데 발라 그게 가오 
난 눈 멀었어 라임 놀이에 
난 니 스웩을 망설이게 해 
다들 나를 감각이래
밤은 가끔 검은 벽이 돼
오뚜기 flow 늘 일어섰어 매일 아침 내 거스 거스
1300번 예전엔 매일 버스 이제 난 니 버스 버스
내 추억은 개 허슬 난 겨울내내 컸어 돔페리뇽 꼴꼴 
난 노 아마추어 내 스웩은 개 추워 너 코에 그게 무엇 무엇
They say
hur
she say
hur
When I’m amazing, 
you hur
crazy
When I’m amazing, 
you hur
crazy"
근데,양홍원,"(어 안녕 ay
그만 쳐다보고 술이나 좀 줄래?) 
그만 쳐다보고 술이나 주겠니
부담스러워서 그래
너가 TV 원래 잘 안 보는데
근데 
너 누군데
뭐 하시는 분인지가 왜 궁금해
랩하고 노래하는데
원하면 지금 들을래?
뭐 하시는가요 그대
근데 여기는 가요무대
Dxxx 너네 오빠들 뮤뱅
요즘 애들이 순해 
괜찮아 실수는 해 
근데 예쁜데 왜 그래 (huh)
그만 쳐다보고 술이나 주겠니
부담스러워서 그래
너가 TV 원래 잘 안 보는데
근데 
너 누군데
뭐 하시는 분인지가 왜 궁금해
랩하고 노래하는데
원하면 지금 들을래?
뭐 하시는가요 그대"
주황색 쏘나타,칸토,"내 폼은 새벽시간에 88
도로 위를 달리는 주황색 쏘나타
1차선으로 들어가네 깜빡이
Watch out 피해, 보기 싫으면 네 각하
누가 Hype 어쩌고 안 하지 상관
짜피 난 빨라서 보이지 않아 네 상판대기
새끼들 앵앵 대니 귀를 베림
다 비벼 한 끼로 먹어 Mom's spaghetti
길에서 다 나가 마치 개리
또 방송에서 웃는 리액션 짐 캐리
그래서 우스운가? 
여태 네가 한 거 다 해봤지 노련한 기사 악셀링
빈 디젤인 듯 달리는 패기
난 Ready, 더 맨 위로 네비 나 대리 없이 가서 돔 페리
이걸 무대에서 뱉기 시작할 때 
다시 소리 질러줘
더 크게 배기음
부릉부릉부릉부릉 부릉
가자고 더 위
밟아 깊이
Ain't got no chill
주황색 쏘나타
그라타타 못 멈춰 도망가
난 모로 가도 강남
한탕 하자 날 막아 세우면 다 맞짱
가자고 더 위
밟아 깊이
Ain't got no chill
주황색 쏘나타
그라타타 못 멈춰 도망가
난 모로 가도 강남
한탕 하자 날 막아 세우면 다 맞짱
근데 잠깐 가살 쓰고 밖에 나가 돌아다니다 보니 
주황 택시 보다 이제 흰 쏘나타가 더 많은 것 같아 
이 거리
뭐 됐네 이거 중요한 건 그게 아니니
다시 랩 이어 갈게 
쌔끈한 라인들 빼입어
근데 나 싫다며 아직 듣고 있네 거기 Hater
누가 날 막아도 상황이 잡아도 계속 Gotta go
나보다 빠르던 중요한 건 가속도
날 보고 눈 감았던 야 지금 나 어때 눈 바로 떠
네가 날 가르쳐? 강의도 다 갈아치워 
난 발음 더 똑바로 펴 맘 가는 거 하고 배워 
실패라도 겁 안 나 네가 빨았던 애들 중 누가 남아있어
부릉부릉부릉부릉 부릉
가자고 더 위
밟아 깊이
Ain't got no chill
주황색 쏘나타
그라타타 못 멈춰 도망가
난 모로 가도 강남
한탕 하자 날 막아 세우면 다 맞짱
가자고 더 위
밟아 깊이
Ain't got no chill
주황색 쏘나타
그라타타 못 멈춰 도망가
난 모로 가도 강남
한탕 하자 날 막아 세우면 다 맞짱"
