제목,가수,가사
익스펜더블 (feat. ODEE),넉살,"쩔쩔매는 꼴 내겐 너무 쉬워
메시의 왼발 쉽게 내다 꽂아
내 날개짓이 너무 커 바람 일으켜
너네 먹던 밥상을 엎어버려 걷어차 전부 다 쏟아
난 다 보여 소나 넌 걍 터져 소다
아가리 내 앞에서 감히 토를 달아
비포장 도로 인생 내겐 쉬워
내 쇼바를 봐라 내 뒷좌석은 코너링 훌륭
다 터뜨려 버려 고장난 스피커 볼륨
다 쓰러뜨려 핀 앞에 볼링
곤이 플로우 언제나 올인
건만큼 받지 왜 이리 많이 줘요 오스틴
함부로 막지 마 난 OG
앞으로 가는 거지 오직
코흘리개들 오르지 못할 성지
이제 좀 죽여야지 성질 no 그럴 리 없지
조용히 살고 싶어 날 건드는 세상에
장난은 그만해 TNT 양손에
왜 갑자기 욕을 해 개 짖는 소리 좀
떨어져줘 내게
버릇없는 녀석들 무릎 끓어 내 앞에 대기
어딜 감히 이젠 늦었어 war ready 매 든 daddy
남겨줄게 전설적인 얘기 너의 쪽팔림을 내리
내 앞에서 어딜 감히 너 정도는 내게
간단해 간단한 식사
간단해 간단한 식사
간단해 간단한 식사
난 점잖은 신사 넌 간단한 식사
각본은 될 대로 자칭 stone cold
뒷걸음질할 곳이 없는 bastard
most wanted I did it I did it
간신히 보다 대충하고 get it 관심 focus
fuck it, bAd attitude huh
내 분야 나쁜 태도 못되게 move huh
배때기 드러누워 하늘에 눈 뒀지
누가 앞 뒤건 몰라 맨 처음이 내 순서
붕 떴어 니 괜한 기대에 부푼 기분
그 헛바람 넣고 빼지 내가 장난질 중
좋은 소린 믿고 너껀 씹어
1차원 적 character여서 될 걸 뱉는 spitter
툭 까고 진땡 아님 꺼져
척 보면 알아 모른 척이 특기인 posers
싹 갈아 판떼기
우리끼리 노나 먹을 것만 두고 싹 폐기
조용히 살고 싶어 날 건드는 세상에
장난은 그만해 TNT 양손에
왜 갑자기 욕을 해 개 짖는 소리 좀
떨어져줘 내게
버릇없는 녀석들 무릎 끓어 내 앞에 대기
어딜 감히 이젠 늦었어 war ready 매 든 daddy
남겨줄게 전설적인 얘기 너의 쪽팔림을 내리
내 앞에서 어딜 감히 너 정도는 내게
간단해 간단한 식사
간단해 간단한 식사
간단해 간단한 식사
난 점잖은 신사 넌 간단한 식사"
낙엽,크루셜스타 (CRUCiAL STAR),"영원할 것만 같던 푸릇한 마음도
낙엽처럼 전부 떨어졌네
우리 젊음을 태웠던 뜨거운 밤도
낙엽처럼 전부 바래졌네
작은 사진 한 장에 담긴 전설
이야기를 전해줄 곳이 없는 Loner
낡은 바에 앉아 기울이는 Sundowner
날아가는 새들을 보며 읊는 고독의 노래
시작의 우린 황소의 뿔 같이
두려움 따윈 없었다네
어제는 한여름 밤의 꿈 같지
가을은 찾아오고 말기에
앙상한 나뭇가지가 되기 전
난 충분히 추억해야 되는 걸
행인의 발에 으스러지기 전
붉어진거야 오늘만
영원할 것만 같던 푸릇한 마음도
낙엽처럼 전부 떨어졌네
우리 젊음을 태웠던 뜨거운 밤도
낙엽처럼 전부 바래졌네
작은 사진 한 장에 담긴 전설
이야기를 전해줄 곳이 없는 Loner
낡은 바에 앉아 기울이는 Sundowner
날아가는 새들을 보며 읊는 고독의 노래
오늘의 나는 어디쯤에 와있나
타들어가는 Cigar 쯤에 와있나
못난 날 비추는 투명한 와인잔
아직도 몰라 무엇이 나은 나일까
부족한 난 무너져가
한 없이 한 없이 한 없이 한 없이
세상아 내 고양이처럼 말 없이
곁에만 있어주면 안될까
TV나 틀어놓는다면 조용해질까해
술이나 기울인다면 몽롱해질까해
한강이나 걷는다면 평온해질까해
걷고 또 걷다가 밟힌 낙엽 하나가 내
모습 같아서 멍하니 그렇게
난 서있었어 꼭 시간이 멈춘 것처럼
스쳐가는 사람들 그 속에
난 합성 같아 어색하고 묘한 Stranger
무언가를 간절히 원했던 바람도
낙엽같은 내겐 불청객
가득한 나의 열정 신념 사랑도
불협화음처럼 시끄럽네
작은 사진 한 장에 담긴 전설
이야기를 전해줄 곳이 없는 Loner
낡은 바에 앉아 기울이는 Sundowner
날아가는 새들을 보며 읊는 고독의 노래"
LIKE YOU,스컬&쿤타,"ye ye ye ye ye ye 
ye ye ye ye ye ye
ye ye ye ye
oh ye ye ye
oh ye ye ye 
오늘 밤 너 뭐해
잠깐 나올래
너의 수많은 고민들
다 뒤로 한 채
우리 단둘이 
so come dance
oh ye shake it shake it shake it 
shake it shake it shake it
오늘 밤 뭐해?
테이블 위엔 모엣
가볍게 마시고 뜨자 여길 기억 안 나게 말아 소맥
몇 개는 기억나게
적당히 따라봐
네 몸매는 real bad
내 머리에 너로 가득 채워놔
뛰어들어 둘이 자쿠지
피곤해서 꿈도 안 꾸길
기도해 난 기도해
내일 우리 밤이 사라지길 기도해
하얀 구름 이불 위에 
하늘 나는 기분 예
너랑 둘이 어딜 가든 좋아 거기
오늘 밤 너 뭐해
잠깐 나올래
너의 수많은 고민들
다 뒤로 한 채
우리 단둘이 
so come dance
oh ye shake it shake it shake it 
shake it shake it shake it
like you like you  like you 
Don't think I'll ever find somebody 
like you like you  like you 
Don't think I'll ever find somebody 
like you like you  like you 
누가 뭐라고 하든 간에
like you like you  like you 
같이 있자 둘이서"
Abyss Remix,"Mix.audio, 피타입 (P-TYPE)","타격감 하나도 없지 광장 꽉 채운 스캔들
단내 맡은 개미들 행렬
밑져도 50:50 확률 갬블
노예들 덕질인가 주인님 과잉보호
스스로 묻지 what you grind for?
시대는 제법 변했어도 이 거리는 여전하지
종로구청 근처 한 때 단골 주점 아직 그대로
간판의 불 들어올까?
저 붉은 노을과 교차되는 소음에 맞춰 나직히
풍경에 단어를 툭 던져
저들과 뚝 떨어진데 자릴 잡고 뱉어대 툭툭
특별한 표현들 없어도 묘사는 충분해
뱉어놓고 맞나 고민해 이게 내 공중그네
강박적 문장 꽉 꽉 채워넣은 다음에
뱉어낸 것 만큼 술을 부어 랩이 과음에 대한 핑계
애들에겐 완벽한 도핑 기회
벌써 반의 반 세기 verse가 날 괴롭힌게
주변 공기에 새겨지는 뚜렷한 흔적
입 속에 숨겨놓은 혀론 아무 것도 못하는 척
지금 구절도 아까 지옥에 잠깐 들러 훔쳤지
눈은 늘 쫓고 있지 니들관 다른 쪽
주변 공기에 새겨지는 뚜렷한 흔적
입 속에 숨겨놓은 혀론 아무 것도 못하는 척
지금 구절도 아까 지옥에 잠깐 들러 훔쳤지
눈은 늘 쫓고 있지 니들관 다른 쪽
요즘 거의 표정 없는 얼굴로 걸어 다녀 가사상태
생명 활동 일시 정지 이게 내 가사 상태
갱신 안된 내가 내 노랫말 그 자체
몇만자 째 매달려있지 타인들의 발자취에
위기감은 이 기관의 연료
멋대로 열려버린 문 너머 걸어 들어가버렸지
아마도 한 열여덟 정도
그 때 표정도 지금 같았나
집착했지 rhyme에다 정 두어 무엇 할 거야
억지로 나답지 않게 롸임 빼고 쓴 라인 역시ㅈ같지
나약한 마음과 못된 낱말 몇 개 조합해 불 붙여
익을 때 썰어 먹어 날 거 보다 약간 나은가
엿도 못사먹는 구릿조각 동전에
혓바닥으로 빚은 괴물까지 난 지금 던전에
악마가 내 곁에 머물 적엔 외롭진 않을 거야
무저갱
주변 공기에 새겨지는 뚜렷한 흔적
입 속에 숨겨놓은 혀론 아무 것도 못하는 척
지금 구절도 아까 지옥에 잠깐 들러 훔쳤지
눈은 늘 쫓고 있지 니들관 다른 쪽
주변 공기에 새겨지는 뚜렷한 흔적
입 속에 숨겨놓은 혀론 아무 것도 못하는 척
지금 구절도 아까 지옥에 잠깐 들러 훔쳤지
눈은 늘 쫓고 있지 니들관 다른 쪽"
Miss My (Feat. 최엘비),이테 (ITÉ),"우스갯소리 나의 고민
말끝마다 주석 달고 알아먹길
말끝마다 붙여
어디서 왔지 나의 화법의 출처
그게 나쁜 건 아니란 말도 추천
돌아보면 하나의 방어지
나의 방어태세
목에 걸 체인 몇 개
있으면 덜했을까 싶어도 걸치라면 내빼
내께 아닌 듯
여전히 팔찌가 어울려
날 사지 않는 시대에
어떻게 팔지가 거슬려, 나를
난 카이로야 부르마블
지금은 짓는 중
호텔 안에 깔쌈한 방을
그때 지나가려면 따블 내야지
나는 컨텐츠가
아냐
난 썸네일이
아냐
나는 못 해 이 짓
담을 수 없어 한 페이지에
물론 날 팔 땐 다 대외비
쉿, 우린 잘 가려야 해
가릴 건 가리고 팔 걸 정해야 해
사람도 나뉘지 본명과 아이디 아래
이런 게 왜 유행이 되어버렸어
MBTI, 15분 리뷰
너의 판단이 난 질렸어
몸 담은 부캐의 시대에
하나도 버거운 나는
하고 있어 몰빵을
따라가기 벅찬 맥박은
일정하게 뛰지를 못해 그래서 다들
손목에 시간을 감는 거였군
인생은 어려워 나의 유언은
초보딱지 떼지마 내 무덤에도
내 시행착오가 나야 뭐든
i miss my love
i miss my youth
i miss my
i miss my 음
이 새낀 음악은 좋은데 없대 간지가
이렇게 태어난 걸 제가 어찌합니까
가끔은 이런 말에 상처받긴 하지만
장담할 수 있어 최상급을 팔지 난
가지각색 작품들 그 사이에
내께 팔리려면 날 포장해 과대하게
내 가치관엔 별로 맞지 않네
내가 지 잘난 맛에 살았다면 반대로
내 음악이 이렇게 나왔을까?
내 음악을 조금 더 팔았을까?
신비주의 컨셉을 잡아볼까
했다가도 이건 나랑 안 맞는다
생각하고 게시물을 복구하려고 킨
인스타그램엔 각종 컨셉으로 꽉 찬 내 피드
뒤처지는 거 같아 왠지
이런 게 왜 유행이 되어버렸어
챌린지와 래퍼들 희화화
너의 판단이 나 질렸어"
아직 (Feat. 쿠기 (Coogie)),아우릴고트 (OUREALGOAT),"하루 다르게 변해야만 해 난 모든 터득
과거에 묶여있다면 사라져가 Like Bubble
매 순간을 집중해 다가오는 건 허들
안주 안 하는 매일 닥치는 대로 다 거듭
바쁜 내 삶은 이미 어지러워 술 치워
한 발이라도 움직여야 내 맘이 편하거든
훗 날에 더 멋진 곳에서 잔을 비워
그전에 우릴 망치는 것들은 버렸거든
반나절도 못가 끝나버리겠지 그 재미는
함부로 말하지 않아 지키지 못할 그 책임
가벼운 밤을 보낸 뒤 머릿속엔 일 제일
챙기지 못해 여전히 빌어먹을 내 생일
아직 내 삶은 피폐해 필요해 안식처
몇 번이고 더 말했잖아 우린 ""아직 더""
내 손에 달렸어 이제는 엄마의 사직서
성공하기 전까진 못 꺼내봐 사진첩
지금까지 난 깊은 우물에 빠짐
뭐 살다 보면 그럴 수 있지 다시
굳세게 마음먹어 우린 다짐
미안해 나는 못해 그런 Party
소외감 느낄 새 없이 또 말해 ""아직 더""
눈을 뜨지 새벽같이 일찍 아직도
공백이 싫어 단 한 번도 존 적
없이 오늘도 학교 내 자리는 공석
놀라지는 마 난 이미 전역
피 튀기는 그 삶 향해 겨눠
만족을 해본 적은 없어 전혀
일분일초가 아까워 내 방식대로 겨뤄
더 이상 불안에 이 두 다리는 안 떨어
배고팠던 놈 이젠 한 숟가락을 덜어
꾸깃꾸깃한 지폐 펴고 먹였던 여럿
부릅뜬 내 두 눈 덕에 키운 건 경험
하루 다르게 변해야만 해 난 모든 터득
과거에 묶여있다면 사라져가 Like Bubble
매 순간을 집중해 다가오는 건 허들
안주 안 하는 매일 닥치는 대로 다 거듭
바쁜 내 삶은 이미 어지러워 술 치워
한 발이라도 움직여야 내 맘이 편하거든
훗 날에 더 멋진 곳에서 잔을 비워
그전에 우릴 망치는 것들은 버렸거든
반나절도 못가 끝나버리겠지 그 재미는
함부로 말하지 않아 지키지 못할 그 책임
가벼운 밤을 보낸 뒤 머릿속엔 일 제일
챙기지 못해 여전히 빌어먹을 내 생일
아직 내 삶은 피폐해 필요해 안식처
몇 번이고 더 말했잖아 우린 ""아직 더""
내 손에 달렸어 이제는 엄마의 사직서
성공하기 전까진 못 꺼내봐 사진첩
Stop shittin blah blah
말뿐인 새끼들은 못 끼지 내 life time
난 빚을 지면 어떻게든 빚을 갚아
Fell off란 낱말은 내 삶 안에 없어
천 단위를 이젠 벌어 in a minute
가볍게 알곤 척하며 제일 깎아내리지
난 눈앞에서 뽐내 내 Trophy I'm winnin
그만 내려 입어 어울리지 않아 새깅
쟤넨 센 척해도 정신은 중삐리
I get it I get it 매월
Won dollar yen hunnit bands 매일 racks up
수입 뻥치는 가사 콧방귀만 나와
한참 남은 손익분기마저 메꿔
오고선 상대해 줄게 그땐 say it to ma face
난 dash dash 절대 안 해 나태
안 꽂아 남의 등에다 빨대
술 안 마셔도 터뜨리지 샴페인
하루 다르게 변해야만 해 난 모든 터득
과거에 묶여있다면 사라져가 Like Bubble
매 순간을 집중해 다가오는 건 허들
안주 안 하는 매일 닥치는 대로 다 거듭
바쁜 내 삶은 이미 어지러워 술 치워
한 발이라도 움직여야 내 맘이 편하거든
훗 날에 더 멋진 곳에서 잔을 비워
그전에 우릴 망치는 것들은 버렸거든
반나절도 못가 끝나버리겠지 그 재미는
함부로 말하지 않아 지키지 못할 그 책임
가벼운 밤을 보낸 뒤 머릿속엔 일 제일
챙기지 못해 여전히 빌어먹을 내 생일
아직 내 삶은 피폐해 필요해 안식처
몇 번이고 더 말했잖아 우린 ""아직 더""
내 손에 달렸어 이제는 엄마의 사직서
성공하기 전까진 못 꺼내봐 사진첩"
여행처럼 살어!,타미즈 (Tamiz),"여행처럼 살어!
길고 짧은 건
대봐야 안다니까
우리 인생도 송충이만큼 짧어
길어보이지만 절대 아녀
2주나 80년이나 그게 그거야
우리 털털하게 가보자고 한 번
길 고양이처럼
시골 사는 누렁이처럼
한 보 한 보 한 번
봄 바람처럼 살다 가보자고
인생은 한 철 장사니까
Vietnam에 걸어 2주 ye
현실은 벌써 미궁으로
스쿠터를 빌리고서
삐까번쩍 삿갓을 써
항아리 바지 바가지 써
좀 만 더 걸을까? 귀찮아서
그냥 써
그러려고 벌었잖어 우리 돈을
어차피 다
가져가는 것도 아니잖아
1분 1초가 아까운 상황
우리 이 날만 기다렸잖아
그러니까
손잡일 땡겨
간식이 땡겨
반미가 땡겨
다 먹어 챙겨
평소 두 배로
게걸스럽대도
놓치긴 싫어 오늘을
오늘은 모범생이 되어야겠어요
늙어가는 걸 느끼며 햇살에 머물러
이 마음을
절대로 앞으로도 잊지 않겠어요
얼마나 갈 진 모르겠지만 그러니까!!
여행처럼 살어!!
길고 짧은 건
대봐야 안다니까
우리 인생도 송충이만큼 짧어
길어보이지만 절대 아녀
2주나 80년이나 그게 그거야
우리 털털하게 가보자고 한 번
길 고양이처럼
시골 사는 누렁이처럼
한 보 한 보 한 번
봄 바람처럼 살다 가보자고
인생은 한 철 장사니까
어제는 술을 너무 많이 먹었어 나는 zombie
올드 쿼터 로드를 휩쓸었지 끼고 썬구리
주머니 텅텅 비었으
속은 존나게 메스꺼워도
그래도 멈출 수 없어
타미즈 열차 칙칙폭폭 힉
스쿠터에 올라타
콩 카페에 가 마이클 싱어 형 책을 읽네
뒤늦게 일어난 여훈이랑 호안끼엠에서
반미로 건배를 해
그리곤
푸름이한테
페톡을 걸어서
약 올리네
올해 들어서 제일 열심이네
지금 사랑은 real 진심이네
오늘은 모범생이 되어야겠어요
늙어가는 걸 느끼며 햇살에 머물러
이 마음을
절대로 앞으로도 잊지 않겠어요
얼마나 갈 진 모르겠지만
그러니까 여기 담어!!
여행처럼 살어!!!
길고 짧은 건
대봐야 안다니까
우리 인생도 송충이만큼 짧어
길어보이지만 절대 아녀
2주나 80년이나 그게 그거야
우리 털털하게 가보자고 한 번
길 고양이처럼
시골 사는 누렁이처럼
한 보 한 보 한 번
봄 바람처럼 살다 가보자고
인생은 한 철 장사니까
장사니까..
장사니까..
Tạm biệt Tạm biệt
장사니까.."
sapa에..,타미즈 (Tamiz),"Sapa는 베트남의 알프스라고 불리고..
어쩌다 이렇게.. 
산맥이 우거진 고산지대 입니다..
어쩌다 오다 보니까..
여기까지 왔네요.. 강추.. !
sapa에 나 혼자 왔다네
반팔 티에
슬리퍼 찍찍 끌고 sleeping
버스에 기대를 싣고서 왔다네
왔다고 전해
저기 아저씨들한테
sapa에 나 혼자 왔다네
반팔 티에
슬리퍼 찍찍 끌고 sleeping
버스에 기대를 싣고서 왔다네
왔다고 전해
저기 아저씨들한테
where are u from?
i'm from seoul
아니 한국말
할 줄 알아요?
박항서
알아요?
아 나 한국
사람이에요
xin chào
이거 오다 배웠네요
쌀국수 맛있는 데 좀 추천해줘요
한국엔 이런 고산지대 없어요
안개가 너무 자욱해서 운치가
쩔어서
친구들 데려올 걸
Fansipan 산은 더 쩐다고요??
아 근데 거긴 좀 귀찮아서..
그냥 스쿠터 한 대를 빌려서
좀 여기저기 달려볼까 해요
일단 미리 내 머릿속 예열
오늘은 두리안 내 인생 처음이네
저녁은 쌀국수를 먹었어
그리고 마사지를 받으면서 나
추천을 받고 또
이곳저곳
종횡무진
무소의 뿔처럼
부릉이지
여훈이 올 때 까진 이틀 남았지
게스트 하우스에 다시 들어왔으
하나도 적응 안 되게 혼숙임
Madrid 같아
유럽 여자들과 눈 윙크
어색하게 침대에 앉은
소심한 코리안 guy
조용히 빨아 땀에 범벅 되어 버린 반팔 티
수풀이 무성해
절벽이 개쩌네
이렇게 보내긴 아쉬운 밤
괜히 껄떡대며
홀로 내려가서 사이공 비어를 마신다
왼쪽엔 유럽 girl
우측엔 인도 boy
영어를 조금씩 섞고 또
바디랭귀지 전문 yo
sapa에 나 혼자 왔다네
반팔 티에
슬리퍼 찍찍 끌고 sleeping
버스에 기대를 싣고서 왔다네
왔다고 전해
저기 아저씨들한테
sapa에 나 혼자 왔다네
반팔 티에
슬리퍼 찍찍 끌고 sleeping
버스에 기대를 싣고서 왔다네
왔다고 전해
저기 아저씨들한테
사파에 왔다가
떠나며 마지막
두리안
한 접시
못 잊어
다시 여길 올까?
언젠가 다시 여길 올까?"
B.W.I,dsel,"bounce wit it 예나 지금이나 bounce wit it
bounce wit it 밑밥은 짖까고 bounce wit it
bounce wit it 예나 지금이나 bounce wit it
bounce wit it 밑밥은 짖까고 bounce wit it
펠레 아닌데 난 저주를 걸어
이름을 크게 불러봐도 너는 너무 멀어
혀를 내둘러 어서 
사격처럼 네 실력은 당연히 영점
예술은 예술 내 음악은 백금
고졸이라 없었잖아 재수
좋은 건 당연히 내끄
그래서 내 여친두 내끄
Mama I'm so sorry I'm so obnoxious
LA 안 가도 얘넨 다져쓰 
혹시 입었니 마음의 상처
건들 수 있어 너의 가족
내 포장지로 안 하지 다림질
과자가 아니지만 내 리그는 아이비 
넌 참 훌룡한 요리의 garnish
정말 두 손으로 하늘 가리니 
bounce wit it 예나 지금이나 bounce wit it
bounce wit it 밑밥은 짖까고 bounce wit it
bounce wit it 예나 지금이나 bounce wit it
bounce wit it 밑밥은 짖까고 bounce wit it
카펫 깔아봐라 나는 알라딘
암암리에 실행하는 반항심
난 유재석과 같은 과지 날라리
가난이 감당이 안 돼? 씨바 기양 가야지
uh 난 미쳤어 유희에 유의해
내가 숙일 땐 또 한 명 울릴 때
이유는 없어 난 boogie man
기 차는 행동하지 마치 주비트레인
삶은 뽑기와 같아 뽑기
피 터진 넌 엽기 떡볶이
세상이 부정하면 어쩌긴
응답하면 되지 성동일
내가 *됬다던 동창들
자연스레 말하네 꼬장은
젭라 내 앞에서 해 고까움
난 닥터 스트레인지, 도르마무
bounce wit it 예나 지금이나 bounce wit it
bounce wit it 밑밥은 짖까고 bounce wit it
bounce wit it 예나 지금이나 bounce wit it
bounce wit it 밑밥은 짖까고 bounce wit it"
척 (Feat. Swings),dsel,"Yippee Ki Yay Yippee Yay Yay Yo
강남 Kid 아닌데 출신이 강남초
전단지 말아서 담배 대신 빨았어
그날 후로 내 매일이 산왕전
상황 전개해 씨발 살라고
내 별명이 상도중 잠만보
가만 보니 다들 간만 보네
힙합 말고 들어봐 사망보험
날 키웠어 지지고의 누들 컵이
내 식성은 마치 별의 커비
세상에 참 많지 별의 별 병신
이때다 존나 싫어 정명석이
많은 래퍼들은 화면 보면서 비웃겠지
배 아프게 쑤시지 수세미
유정호처럼 깨버릴게 뚝배기
내 화법 마치 08년도 문돼지
왜 안 진지했던 척해
Yippee Ki Yay Yippee Yay Yay Yo
왜 안 진지했던 척해
Yippee Ki Yay Yippee Yay Yay Yo
왜 안 진지했던 척해
Yippee Ki Yay Yippee Yay Yay Yo
왜 안 진지했던 척해
Yippee Ki Yay Yippee Yay Yay Yo
난 나만의 league 소수는 알아 느낌
경쟁에선 승리 오늘 나랑 싸우지
누가 보면 조커, 혼자 shadow boxing
뭘 좀 안다면, 멀리서 봐도 Rocky
돈이 궁해? 아니 딱히 행사 공연 감사하지
근데 안 땡기면 안 가 난 잘 아니
더 큰 건은 많아 미래를 그리는 화가
도화지는 작아 난 이끌어갈 거야 이 나랄
가사의 형태로 부자 되는 법 팔아
설교하기 전에 말한 대로 살아
난 이미 선을 넘었어 뭘 해도 못 막아
16년 봤잖아 안 상한 것은 그저 나야
돈은 걍 이력서에 휴지 조각이 왜
그렇게 중요해 세상을 다 얻을 건데
쇼츠 시대에서 살아남는 법은 think big
2년 정도 꼭 들어 이 노래 let it sink in
왜 안 진지했던 척해
Yippee Ki Yay Yippee Yay Yay Yo
왜 안 진지했던 척해
Yippee Ki Yay Yippee Yay Yay Yo
왜 안 진지했던 척해
Yippee Ki Yay Yippee Yay Yay Yo
왜 안 진지했던 척해
Yippee Ki Yay Yippee Yay Yay Yo"
ANOTHER LESSON,루피 (Loopy),"길었어 후회로 가득한 시기
알았음 좋았을 텐데 나 미리
둘 중 넌 누구야 사랑과 시기
기다리지 않는 4개의 Season
잃어야 배우게 되는 이 Lesson
갈수록 줄어만 가는 내 Reason
이젠 정말 싫어 난 people
채우고 채우다 뒤질 내 pocket
이거 말곤 없어 다른 내 option
찾지 넌 밸런스 X까 난 workin’
그녀는 날 원해 난 DM을 block it
혼자 내 방에 locked in and I chop it
결국 전부 같아 뺏거나 뺏김
헤퍼 넌 웃음 축하해 you lucky
그 누구도 믿지마 스스로 먹지 내 먹이
피워 필요했던 medicine, not fashion
검은색 옷 dressed
끝이 없는 case
미련 없어 묻어 날 여기 casket
악마였던 듯 해 who I dance with
I’m from the 바닥 know how to hustle
헤매는 애들 모아 배 불리고
I make a milli then triple double
이해를 쳐 못하는 이에게 멋을
I ain’t gon say no lie
난 계속 gave you
I’m on a whole another level 못 개겨
여리지 아직 겁이 많은 새끼
넌 작은 상처도 하나 못 새겨
뒤 봐줄 가짜 친구 수나 세고
들어가 난 째거나 뒤로 안 빼고
수갑조차 묶지 못했던 나의 태도
개소리 XX같은 새끼들을 패고
이제 몇 안 남은 사람들과 돈을 세 또
많은 일들을 couldn’t tell
어른 난 다 혼자서 take
원래 필요 없었어 도움 니 꺼는
비겁하지 넌 test my love
Bro, still ain’t seen him in a minute
뭐든 처먹일 땐 뭐든지 다 down
알아 이제야 나 혼자 텅 빈 town nobody out
내미는 손바닥 위에 나는 주지 doubt
너무 많아 여긴 쥐나 뱀이
샘을 내는 새끼 하지 셈을
Lil bro, what u gon sell?
음악은 됬고 How high is your number?
안 돼 그건 I can’t tell
아직 끝이 안 난 case still
Walk around 나 혼자서 걸어
아직까지 너흰 talmbout love
길었어 후회로 가득한 시기
알았음 좋았을 텐데 나 미리
둘 중 넌 누구야 사랑과 시기
기다리지 않는 4개의 Season
잃어야 배우게 되는 이 Lesson
갈수록 줄어만 가는 내 Reason
이젠 정말 싫어 난 people
채우고 채우다 뒤질 내 pocket
이거 말곤 없어 다른 내 option
찾지 넌 밸런스 X까 난 workin’
그녀는 날 원해 난 DM을 block it
혼자 내 방에 locked in and I chop it
결국 전부 같아 뺏거나 뺏김
헤퍼 넌 웃음 축하해 you lucky
그 누구도 믿지마 스스로 먹지 내 먹이
피워 필요했던 medicine, not fashion"
똑같아 (slowed + reverb),얼돼 (Errday Jinju),"나는 뭐 똑같아
너는 뭐 다를까 또
외로워하는 밤 또
괴로워하는 날 또
상처를 덮고 파
나도 chains on ma neck
떼어 price tags
따러 술을 glass
이젠 너무 달콤하지
여전히 밤을 새
꽉 찬 메시지 창
나도 이제 일 아니면 pass
외로움과 주고받은 대화는
나만 알기엔 너무 아까워
더 가까워졌음 좋겠지
꿈 앞에 기꺼이 호갱이지
근데 커진 내 콧대는 피노키오
가끔 스스로 날 속이겠지
하고픈 건 아직 많지만
내 사고의 체제엔 랜섬웨어
돈으로 사야 할까 봐 용기를
하지만 아직 내 얼굴은 어려 보여
한껏 진지하게 준비해도
고양이 눈으로 take a look
몇 번 말해 난 해낼 거라고
변하지 않겠다 했더라두
나는 뭐 똑같아
여전히 난 그 자리
내게 남겨진 거라곤 단지 발전이지
what u need
나의 희생 지겹지
챙겨야지
너네 전부 이해하지만
차라리 손가락질
계속 그리 살라지
lane
I’m switching lane
난 자유자재
넌 뭐길래
내게 이래라저래라
해
I’m switching lane
난 자유자재
넌 뭐길래
lane
I’m switching lane
난 자유자재
넌 뭐길래
내게 이래라저래라
해
I’m switching lane
난 자유자재
넌 뭐길래
i don’t give a F
내게 정답을 줄래
난 더 멋진 걸 원해
누가 진짜인 것 같애
얘넨 자꾸 장난해
나만 남아있는 것 같애
이젠 다른 꿈속에
나를 가둘래 더 외롭게"
오랫동안 영원토록,용용 (YongYong),"오랫동안 영원토록
네가 준 선물을 잃지 않게
난 이 모든 것을 지킬게
오랫동안 영원토록
네가 가졌던 날 잊지 않게
이 끈을 절대 놓지 않을게
눈물이 나
네 생각만 하면 울컥하잖아
왜인지는 아직 모르겠지만
처음인 게 너무 많았잖아
네가 없는 시간들 어찌 너무 재미없잖아
눈물이 나
예전 우리 생각에 훔치는 마음
어떻게 해야 네가 돌아올까
그 어떤 것들이 갈라놓아도
넌 나를 지킬 거라 믿었던 거야 정말로
사랑해 이 말 한마디 백 번을 해도 모자라
너를 대신할 수 있는 게 없어 내 삶에선 oh oh
Don’t say no
사랑해 이 말 한마디 또 말하길 바라잖아
너 대신 들을 사람은 없어 절대로
Baby don’t know oh oh
영원한 건 하늘밖에 없다고
습관처럼 뱉은 문장도
처음 의심하기 시작한 건 여기
잠든 너를 보며 사랑한 내 모습에 있어
난 언젠가 네가 날 지키러 와줄 걸 알아
무뎌지지 않는 아픔도
덧나기만 하는 상처도
다 이겨낼 우리니까
오랫동안 영원토록
네가 준 선물을 잃지 않게
난 이 모든 것을 지킬게
오랫동안 영원토록
네가 가졌던 날 잊지 않게
이 끈을 절대 놓지 않을게
Me wit u 4eva …
Me wit u 4eva …
Me wit u 4eva …
Me wit u 4eva …
Me wit u 4eva …
Me wit u 4eva …"
너도 알잖아,OXYNOVA,"아무리 힘들다 해도 너를 사랑해 줄게
오직 나만 바라보고 날 따라와 줄래
눈물이 와도 난 너를 바라봐 줄게
내가 사랑해 줄게 내가 oh 
오늘도
빗방울이 흘리고 있네
하지만 난 너를 원해
너도 날 원한다 해줄래
Oh 해줄래
나는 너를 원했어
Oh 너를 원했어
Uh 20 something days 9 to 5
날이 지겨워지네
하지만 내가 가야 하는 길이 없대
내가 만들면 되지 그래
믿으면 되지 그래
못할 게 뭐가 있어
오늘도 찾아줘
하루 종일 빈둥거리는 내가 자라서
어느 날부터 쉬는 시간이 모자라서
나도 잘 모르겠어 우리가 이렇게
커서 일도 하고 사회생활하는데 내 걱정은 하지 마
난 혼자 잘 먹고 너무 잘 사니까
그래도 7 days a week, 7 times a day typing up a hey
너가 보고는 싶은 게
그래 아직 매일 난
너를 생각하고
보고 싶어 매일 난
너도 나를 때로는 생각하니ah da da da
난 오직 너를 생각하지ah da da da da da
아무리 힘들다 해도 너를 사랑해 줄게
오직 나만 바라보고 날 따라와 줄래
눈물이 와도 난 너를 바라봐 줄게
내가 사랑해 줄게 내가 oh 
오늘도
빗방울이 흘리고 있네
하지만 난 너를 원해
너도 날 원한다 해줄래"
